LandisData "Climate Data"

ClimateTable
>>Eco	Time	Month	AvgMinT	AvgMaxT	StdDevT	AvgPpt	StdDev	PAR
>>Index	Step		(C)	(C)	(K)	(cm)	Ppt	µmol m-2 s-1
2	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
2	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
2	0	3	-3.0	14.7	3.2	9.2	3.9	0.0
2	0	4	2.9	19.0	2.4	9.0	4.6	0.0
2	0	5	8.9	23.7	2.1	8.4	4.2	0.0
2	0	6	14.9	26.8	1.6	6.8	3.6	0.0
2	0	7	18.6	28.5	1.4	9.8	5.9	0.0
2	0	8	17.2	27.4	1.6	10.6	6.8	0.0
2	0	9	11.5	25.2	1.8	7.4	4.0	0.0
2	0	10	4.6	20.7	2.2	7.2	3.6	0.0
2	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
2	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
3	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
3	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
3	0	3	-3.0	14.7	3.2	9.2	3.9	0.0
3	0	4	2.9	19.0	2.4	9.0	4.6	0.0
3	0	5	8.9	23.7	2.1	8.4	4.2	0.0
3	0	6	14.9	26.8	1.6	6.8	3.6	0.0
3	0	7	18.6	28.5	1.4	9.8	5.9	0.0
3	0	8	17.2	27.4	1.6	10.6	6.8	0.0
3	0	9	11.5	25.2	1.8	7.4	4.0	0.0
3	0	10	4.6	20.7	2.2	7.2	3.6	0.0
3	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
3	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
4	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
4	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
4	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
4	0	4	2.9	19.0	2.4	9.0	4.6	0.0
4	0	5	8.9	23.7	2.1	8.4	4.2	0.0
4	0	6	14.9	26.8	1.6	6.8	3.6	0.0
4	0	7	18.6	28.5	1.4	9.8	5.9	0.0
4	0	8	17.2	27.4	1.6	10.6	6.8	0.0
4	0	9	11.5	25.2	1.8	7.4	4.0	0.0
4	0	10	4.6	20.7	2.2	7.2	3.6	0.0
4	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
4	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
5	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
5	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
5	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
5	0	4	2.9	19.0	2.4	9.0	4.6	0.0
5	0	5	8.9	23.7	2.1	8.4	4.2	0.0
5	0	6	14.9	26.8	1.6	6.8	3.6	0.0
5	0	7	18.6	28.5	1.4	9.8	5.9	0.0
5	0	8	17.2	27.4	1.6	10.6	6.8	0.0
5	0	9	11.5	25.2	1.8	7.4	4.0	0.0
5	0	10	4.6	20.7	2.2	7.2	3.6	0.0
5	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
5	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
6	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
6	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
6	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
6	0	4	2.9	19.0	2.4	9.0	4.6	0.0
6	0	5	8.9	23.7	2.1	8.4	4.2	0.0
6	0	6	14.9	26.8	1.6	6.8	3.6	0.0
6	0	7	18.6	28.5	1.4	9.8	5.9	0.0
6	0	8	17.2	27.4	1.6	10.6	6.8	0.0
6	0	9	11.5	25.2	1.8	7.4	4.0	0.0
6	0	10	4.6	20.7	2.2	7.2	3.6	0.0
6	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
6	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
7	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
7	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
7	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
7	0	4	2.9	19.0	2.4	9.0	4.6	0.0
7	0	5	8.9	23.7	2.1	8.4	4.2	0.0
7	0	6	14.9	26.8	1.6	6.8	3.6	0.0
7	0	7	18.6	28.5	1.4	9.8	5.9	0.0
7	0	8	17.2	27.4	1.6	10.6	6.8	0.0
7	0	9	11.5	25.2	1.8	7.4	4.0	0.0
7	0	10	4.6	20.7	2.2	7.2	3.6	0.0
7	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
7	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
8	0	1	-10.9	10.2	3.5	8.7	4.0	0.0
8	0	2	-8.8	10.2	3.4	7.7	3.3	0.0
8	0	3	-3.0	14.7	3.2	9.2	3.9	0.0	
8	0	4	2.9	19.0	2.4	9.0	4.6	0.0
8	0	5	8.9	23.7	2.1	8.4	4.2	0.0
8	0	6	14.9	26.8	1.6	6.8	3.6	0.0
8	0	7	18.6	28.5	1.4	9.8	5.9	0.0
8	0	8	17.2	27.4	1.6	10.6	6.8	0.0
8	0	9	11.5	25.2	1.8	7.4	4.0	0.0
8	0	10	4.6	20.7	2.2	7.2	3.6	0.0
8	0	11	-0.9	16.6	2.3	8.9	5.2	0.0
8	0	12	-7.5	12.4	3.3	8.3	4.2	0.0
